received_at,monotonic_s,robot,role,fleet_id,kind,x,y,z,yaw,pose_age,pose_fresh
2026-09-13T03:09:29.161+00:00,67184.870426134,limo_b,limo_b,LIMO2,limo,-1.0,1.5,0.0,0.0,0.00035841499629896134,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.00033799798984546214,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.00031995699100662023,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,cf230,cf230,CF01,drone,-1.0,0.0,0.0,0.0,0.0012282850075280294,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,cf231,cf231,CF02,drone,-1.0048704604501837,1.5,0.4,0.0,0.0011209530057385564,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.0010449950059410185,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0009707450080895796,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:09:39.165+00:00,67194.874800363,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:09:39.165+00:00,67194.874800363,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:09:39.165+00:00,67194.874800363,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:09:39.165+00:00,67194.874800363,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:09:39.165+00:00,67194.874800363,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:09:39.165+00:00,67194.874800363,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.0006429549976019189,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,limo_b,limo_b,LIMO2,limo,-1.0146113813505508,1.4829533884243573,0.0,0.0,0.000604164000833407,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.0005651219980791211,yes
2026-09-13T03:09:39.165+00:00,67194.874800363,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.000530621997313574,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,cf230,cf230,CF01,drone,-1.0,0.0,0.0,0.0,0.000193290994502604,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,cf231,cf231,CF02,drone,-1.5,1.5,0.0,0.0,0.00017333299911115319,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.0001607489975867793,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0001492910087108612,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:10:01.161+00:00,67216.870688059,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:10:01.161+00:00,67216.870688059,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:10:01.161+00:00,67216.870688059,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:10:01.161+00:00,67216.870688059,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:10:01.161+00:00,67216.870688059,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:10:01.161+00:00,67216.870688059,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.00010308300261385739,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,limo_b,limo_b,LIMO2,limo,-4.0,-2.0,0.0,0.0,9.708300058264285e-05,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,limo_c,,LIMO3,limo,0,0,0.0,0.0,9.116600267589092e-05,yes
2026-09-13T03:10:01.161+00:00,67216.870688059,limo_d,,LIMO4,limo,0,0,0.0,0.0,8.591600635554641e-05,yes
